position,company,location,salary
Software Development Engineer,HP,"Charlotte, NC",63000.0
Junior Backend Developer,JPMorgan Chase,"Dallas, TX",129100.0
Software Engineer III Back End,Apple,"Detroit, MI",154100.0
Software Development Specialist 1,CenterPoint Energy,"Portland, OR",73400.0
Frontend Software Engineer II,Anthem,"San Diego, CA",65700.0
Frontend Software Engineer II,Visa,"Columbus, OH",105000.0
Software Support Specialist,Raytheon Technologies,"New York, NY",100000.0
Sr. Data Warehouse Software Engineer,Thermo Fisher Scientific,"Tulsa, OK",43200.0
IT Business Analyst,Marriott International,"Miami, FL",57300.0
Sr. Data Warehouse Software Engineer,Arrow Electronics,"Tulsa, OK",63900.0
Tier 2 Technical Support,PG&E,"Raleigh, NC",49900.0
Junior Backend Developer,Dow,"Seattle, WA",91300.0
Junior Software Test Engineer,Lear,"San Francisco, CA",66000.0
Junior Software Programmer,Ford Motor,"Arlington, TX",43200.0
Junior Software Programmer,Alphabet,"Philadelphia, PA",75900.0
Software Development Specialist 1,McKesson,"Indianapolis, IN",73800.0
Production Artwork Developer,General Electric,"Indianapolis, IN",113300.0
Embedded Software Engineer Intern,Amazon,"Columbus, OH",0
Embedded Software Engineer Intern,Marriott International,"Philadelphia, PA",0
Software Support Specialist,PG&E,"Denver, CO",46600.0
Production Artwork Developer,JPMorgan Chase,"Washington, DC",185300.0
PaaS/Cloud Support Lead,Sysco,"Washington, DC",182700.0
Software Engineer REMOTE,McKesson,"Toronto, ON",56200.0
Network Software Engineer,Lear,"Toronto, ON",151500.0
Software Engineer REMOTE,Monsanto,"Fresno, CA",77600.0
Junior Backend Developer,Berkshire Hathaway,"Houston, TX",69300.0
Software Programmer (JR),American Express,"San Francisco, CA",88000.0
Software Develper 4,CenterPoint Energy,"Phoenix, AZ",72400.0
Junior Software Engineer with Web Application Focus,Raytheon Technologies,"Hawthorne, CA",134900.0
Entry Level C++ Software Developer,McKesson,"San Jose, CA",46500.0
Frontend Software Engineer II,PG&E,"Milwaukee, WI",69700.0
Software Programmer (JR),Northrop Grumman,"Toronto, ON",112100.0
IT Systems Support Specialist,Berkshire Hathaway,"Dallas, TX",84500.0
Functional and Technical Support Role,Macy's,"Tulsa, OK",53400.0
Embedded Software Engineer Intern,American Airlines,"Jacksonville, FL",0
Software Development Specialist 1,CVS Health,"Milwaukee, WI",68900.0
Functional and Technical Support Role,Broadcom,"Vancouver, BC",44900.0
IT Business Analyst,General Electric,"San Francisco, CA",114900.0
Associate Software Engineer,Dow,"Houston, TX",94700.0
Junior Software Test Engineer,Dell Technologies,"Washington, DC",46100.0
Junior Software Engineer with Web Application Focus,Macy's,"New York, NY",52500.0
Tier 2 Technical Support,Raytheon Technologies,"Memphis, TN",103900.0
Software Engineer III Back End,AT&T,"Wichita, KS",79600.0
IT Business Analyst,MetLife,"Fort Worth, TX",108700.0
.NET Software Developer,Exxon Mobil,"Memphis, TN",116400.0
Production Artwork Developer,PG&E,"Philadelphia, PA",65000.0
PaaS/Cloud Support Lead,Verizon Communications,"Sacramento, CA",107200.0
Software Support Specialist,Dow,"Jacksonville, FL",68700.0
Software Engineer REMOTE,Amerisource Bergen,"Toronto, ON",59800.0
Software Engineer REMOTE,American Express,"Miami, FL",115800.0
Software Engineer REMOTE,Micron Technology,"Boston, MA",69500.0
Junior Software Engineer with Web Application Focus,Walmart,"Fort Worth, TX",55500.0
Tier 2 Technical Support,Anthem,"New York, NY",38900.0
Software Engineer REMOTE,Alphabet,"Philadelphia, PA",101900.0
IT Systems Support Specialist,Northrop Grumman,"Vancouver, BC",146800.0
Entry Level C++ Software Developer,Thermo Fisher Scientific,"Seattle, WA",30500.0
Remote Jr. Java Application Developer,Verizon Communications,"Arlington, TX",28600.0
